"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\VCF\VCF.sch"
"Date:","05/26/19 17:46:18"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","62"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Field4","Field5","Field6","Field7","Field8","Field9","Unit Price"
"","","C1","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C2","100uF","Device:CP1","Synth:CP_Tantalum_7343","~","https://www.digikey.com/short/p4nfcn","399-9749-1-ND","","","","","","","2.71"
"","","C3","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C4","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C5","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C6","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C7","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C8","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C9","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C10","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C11","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C12","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C13","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"","","C14","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","C15","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"","","CN1","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN2","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN3","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","CN4","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"","","J1","Power","Connector_Generic:Conn_02x05_Odd_Even","Synth:PinHeader_2x05_P2.54mm_Vertical_Zigzag","~","https://www.digikey.com/short/p4nr5h","609-3243-ND","","","","","","","0.27"
"","","J2","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"","","J3","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"","","J4","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"","","Q1","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf","https://www.digikey.com/short/p4nf3t","2N3906TARFSCT-ND","","","","","","","0.24"
"","","Q2","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q3","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q4","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q5","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q6","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q7","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nft0","2N3904FS-ND","","","","","","","0.21"
"","","Q8","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q9","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q10","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q11","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","Q12","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"","","R1","4.99k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf79","RNCP1206FTD4K99CT-ND","","","","","","","0.10"
"","","R2","4.99k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf79","RNCP1206FTD4K99CT-ND","","","","","","","0.10"
"","","R3","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","","","","","","","0.07"
"","","R4","33k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrww","RMCF1206JT33K0CT-ND","","","","","","","0.10"
"","","R5","68.1k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf72","RNCP1206FTD68K1CT-ND","","","","","","","0.10"
"","","R6","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R7","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","","","","","","","0.07"
"","","R8","12k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf70","A129823CT-ND","","","","","","","0.10"
"","","R9","2.74k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nftt","311-2.74KFRCT-ND","","","","","","","0.10"
"","","R10","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R11","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R12","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R13","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R14","2.74k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nftt","311-2.74KFRCT-ND","","","","","","","0.10"
"","","R15","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R16","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R17","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"","","R18","12k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf70","A129823CT-ND","","","","","","","0.10"
"","","R19","100","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nftq","RNCP1206FTD100RCT-ND","","","","","","","0.10"
"","","R20","6.81k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nft8","RNCP1206FTD6K81CT-ND","","","","","","","0.10"
"","","R21","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","","","","","","","0.07"
"","","RV1","10k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nf35","PTV09A-4020F-B103-ND","","","","","","","0.83"
"","","RV2","10k","Device:R_POT","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~","https://www.digikey.com/short/p4nrbh","1993-1104-ND","","","","","","","0.46"
"","","RV3","10kA","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nf3v","PTV09A-4020F-A103-ND","","","","","","","0.83"
"","","U1","TL072","Amplifier_Operational:TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","https://www.digikey.com/short/p4nf7q","296-1282-1-ND","","","","","","","0.62"
"","","U2","L78L09_SOT89","Regulator_Linear:L78L09_SOT89","Package_TO_SOT_SMD:SOT-89-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","https://www.digikey.com/short/p4nftn","497-1192-1-ND","","","","","","","0.42"
"","","U3","L79L09_SOT89","Regulator_Linear:L79L05_SOT89","Package_TO_SOT_SMD:SOT-89-3","http://www.farnell.com/datasheets/1827870.pdf","https://www.digikey.com/short/p4nftb","NJM79L09UA-TE1CT-ND","","","","","","","0.80"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Field4","Field5","Field6","Field7","Field8","Field9","Unit Price"
"1","5","C1, C8, C11, C12, C13","2.2uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nfth","1276-1072-1-ND","","","","","","","0.22"
"2","1","C2","100uF","Device:CP1","Synth:CP_Tantalum_7343","~","https://www.digikey.com/short/p4nfcn","399-9749-1-ND","","","","","","","2.71"
"3","9","C3, C4, C5, C6, C7, C9, C10, C14, C15","0.1uF","Device:C","Synth:C_1206","~","https://www.digikey.com/short/p4nr3m","720-1540-1-ND","","","","","","","0.237"
"4","4","CN1, CN2, CN3, CN4","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"5","1","J1","Power","Connector_Generic:Conn_02x05_Odd_Even","Synth:PinHeader_2x05_P2.54mm_Vertical_Zigzag","~","https://www.digikey.com/short/p4nr5h","609-3243-ND","","","","","","","0.27"
"6","3","J2, J3, J4","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"7","1","Q1","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3906.pdf","https://www.digikey.com/short/p4nf3t","2N3906TARFSCT-ND","","","","","","","0.24"
"8","10","Q2, Q3, Q4, Q5, Q6, Q8, Q9, Q10, Q11, Q12","2N3392","Synth:2N3392","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nfcv","2N3392CS-ND","","","","","","","0.647"
"9","1","Q7","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_HandSolder","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","https://www.digikey.com/short/p4nft0","2N3904FS-ND","","","","","","","0.21"
"10","2","R1, R2","4.99k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf79","RNCP1206FTD4K99CT-ND","","","","","","","0.10"
"11","3","R3, R7, R21","100k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nr28","A129834CT-ND","","","","","","","0.07"
"12","1","R4","33k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrww","RMCF1206JT33K0CT-ND","","","","","","","0.10"
"13","1","R5","68.1k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf72","RNCP1206FTD68K1CT-ND","","","","","","","0.10"
"14","8","R6, R10, R11, R12, R13, R15, R16, R17","1.0k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nrdz","311-1.0KERCT-ND","","","","","","","0.10"
"15","2","R8, R18","12k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nf70","A129823CT-ND","","","","","","","0.10"
"16","2","R9, R14","2.74k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nftt","311-2.74KFRCT-ND","","","","","","","0.10"
"17","1","R19","100","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nftq","RNCP1206FTD100RCT-ND","","","","","","","0.10"
"18","1","R20","6.81k","Device:R","Synth:R_1206","~","https://www.digikey.com/short/p4nft8","RNCP1206FTD6K81CT-ND","","","","","","","0.10"
"19","1","RV1","10k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nf35","PTV09A-4020F-B103-ND","","","","","","","0.83"
"20","1","RV2","10k","Device:R_POT","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~","https://www.digikey.com/short/p4nrbh","1993-1104-ND","","","","","","","0.46"
"21","1","RV3","10kA","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nf3v","PTV09A-4020F-A103-ND","","","","","","","0.83"
"22","1","U1","TL072","Amplifier_Operational:TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tl071.pdf","https://www.digikey.com/short/p4nf7q","296-1282-1-ND","","","","","","","0.62"
"23","1","U2","L78L09_SOT89","Regulator_Linear:L78L09_SOT89","Package_TO_SOT_SMD:SOT-89-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","https://www.digikey.com/short/p4nftn","497-1192-1-ND","","","","","","","0.42"
"24","1","U3","L79L09_SOT89","Regulator_Linear:L79L05_SOT89","Package_TO_SOT_SMD:SOT-89-3","http://www.farnell.com/datasheets/1827870.pdf","https://www.digikey.com/short/p4nftb","NJM79L09UA-TE1CT-ND","","","","","","","0.80"
